Cod;Latitude;Longitude;Plantio;Coveamento
GLGL0001;-18.994483;-41.512117;3081;3091
GLGL0002;-19.00166793;-41.42986898;0;43
GLGL0003;-18.927579;-41.461929;162;198
GLGL0004;-18.98282;-41.497193;89;89
GLGL0005;-19.018699;-41.426601;95;429
GLGL0006;-18.94775;-41.5508;49;49
GLGL0007;-18.99624292;-41.48992822;509;596
GLGL0008;-18.984483;-41.445167;0;2455
GLGL0009;-18.997259;-41.531446;173;173
GLGL0010;-18.996612;-41.525528;0;203
GLGL0011;-19.000972;-41.521218;0;92
GLGL0012;-18.99570702;-41.50023008;4620;4876
GLGL0013;-18.970863;-41.514839;1866;3309
GLGL0014;-18.983072;-41.503921;595;654
GLGL0015;-18.938;-41.474792;27436;32989
GLGL0016;-18.946242;-41.463396;472;745
GLGL0017;-18.924518;-41.444092;12163;12973
GLGL0018;-18.942783;-41.554095;674;674
GLGL0019;-18.986616;-41.489978;0;0
GLGL0020;-19.002685;-41.427042;0;1038
GLGL0021;-18.97014605;-41.55018585;122;122
GLGL0022;-18.991842;-41.519389;0;0
GLGL0023;-18.989474;-41.450191;0;805
GLGL0024;-19.024824;-41.413275;1824;1943
GLGL0025;-18.77461;-41.66405;0;0
GLGL0026;-18.79518;-41.65422;0;0
GVGV0001;-18.64601842;-41.66140849;84;98
GVGV0002;-18.62838;-41.5652;498;581
GVGV0003;-18.66144631;-41.68288171;0;50
GVGV0004;-18.583958;-41.56664;322;343
GVGV0005;-18.63648945;-41.580886;0;218
GVGV0006;-18.66729;-41.670555;0;36
GVGV0007;-18.643192;-41.573141;710;392
GVGV0008;-18.654527;-41.562028;11367;11600
GVGV0009;-18.666302;-41.672774;0;40
GVGV0010;-18.61529955;-41.63436409;60;184
GVGV0011;-18.624818;-41.636476;89;65
GVGV0012;-18.649025;-41.651767;0;0
GVGV0013;-18.611931;-41.575639;2510;3243
GVGV0014;-18.623008;-41.586526;107;1462
GVGV0015;-18.664176;-41.681056;0;2259
GVGV0016;-18.654766;-41.69279;7984;5562
GVGV0017;-18.638525;-41.663659;371;403
GVGV0018;-18.62868;-41.635858;241;296
GVGV0019;-18.643637;-41.619945;237;331
GVGV0020;-18.64094;-41.627693;719;7118
GVGV0021;-18.597022;-41.588156;5908;6379
GVGV0022;-18.58195;-41.54379;4562;4679
GVGV0023;-18.656462;-41.606653;473;565
GVGV0024;-18.679804;-41.673089;0;418
GVGV0025;-18.614211;-41.636709;119;775
GVGV0026;-18.65213336;-41.674244;0;45
GVGV0027;-18.651285;-41.571407;87;89
GVGV0028;-18.6492;-41.576642;77;76
GVGV0029;-18.647133;-41.634718;0;0
GVGV0030;-18.628295;-41.651631;0;0
GVGV0031;-18.664983;-41.665617;30;30
GVGV0032;-18.650413;-41.644361;720;1364
GVGV0033;-18.625976;-41.554368;987;3292
GVGV0034;-18.633922;-41.584988;0;325
GVGV0035;-18.651462;-41.653949;0;0
GVGV0036;-18.740757;-41.71828;0;0
GVGV0037;-18.834705;-42.22589167;0;0
GVGV0038;-18.74444;-41.72694667;0;0
GVGV0039;-18.71121424;-41.69150698;0;0
GVGV0040;-18.85676333;-42.26182333;0;0
GVGV0041;-18.881665;-42.23333;0;0
GVGV0042;-18.84863161;-42.20807781;0;0
GVGV0043;-18.88563667;-42.23148833;0;0
GVGV0044;-18.87904;-42.229055;0;0
GVGV0045;-18.88595833;-42.23631167;0;0
GVGV0046;-18.72093;-41.68851;0;0
GVGV0047;-18.74007;-41.65239;0;0
GVGV0049;-18.88615167;-42.235155;0;0
GVGV0050;-18.73624;-41.63213;0;0
GVGV0051;-18.78994;-41.70017;0;0
GVGV0052;-18.78309;-41.69816;0;0
GVGV0053;-18.83176;-42.235135;0;0
GVGV0054;-18.83588667;-42.21683333;0;0
GVGV0055;-18.88356833;-42.24253;0;0
GVGV0056;-18.88205;-42.24507;0;0
GVGV0057;-18.86691667;-42.21069833;0;0
GVGV0058;-18.85927167;-42.22236667;0;0
GVGV0059;-18.858384;-42.210488;0;0
GVGV0060;-18.86277667;-42.21599167;0;0
GVGV0061;-18.874363;-42.246038;0;0
GVGV0062;-18.751945;-41.732045;0;0
GVGV0063;-18.839661;-42.263745;0;0
GVGV0064;-18.872255;-42.211775;0;0
GVGV0065;-18.838191;-42.262145;0;0
PQPQ0001;-19.079852;-42.301221;16129;15034
PQPQ0002;-19.098322;-42.333653;90;90
PQPQ0003;-19.083325;-42.289165;7335;7473
PQPQ0004;-19.087988;-42.329689;4861;4909
PQPQ0005;-19.086344;-42.197597;13778;13513
PQPQ0006;-19.088522;-42.350124;150;472
PQPQ0007;-19.115147;-42.232738;6743;6937
PQPQ0008;-19.093432;-42.32816;3999;4131
PQPQ0009;-19.110223;-42.280996;1653;1731
PQPQ0010;-19.083886;-42.278422;4773;4380
PQPQ0011;-19.098656;-42.333845;469;470
PQPQ0012;-19.127648;-42.312897;942;1060
PQPQ0013;-19.116241;-42.339234;7899;8210
PQPQ0014;-19.098422;-42.34114;10093;11831
PQPQ0015;-19.101272;-42.27501;10189;10196
PQPQ0016;-19.108452;-42.306366;978;1112
